neg_cDC1_over_B_2x,neg_cDC1_vs_Mo_Macro_1.5x,neg_cDC1_vs_neutro_3x,neg_cDC1_vs_non_immune_2x,neg_cDC1_vs_pDC_3x,neg_cDC1_vs_T_NK_2x,neg_cDC1_vs_cDC2_global
,,Kcnj2,,Pnck,,
,,Gm45717,,Acap1,,
,,Gcnt2,,Ap1m2,,
,,P2ry13,,Sgcb,,
,,Pglyrp1,,Ankrd28,,
,,Nudt4,,Calcoco1,,
,,Stk26,,Tmem229b-ps,,
,,Klra2,,Ak8,,
,,Tacstd2,,Atp2a3,,
,,Oasl2,,Eya1,,
,,Fcer1g,,Hpse,,
,,Carhsp1,,Klk1b21,,
,,Gpat3,,Runx2,,
,,AB124611,,Evi5,,
,,Ddx58,,H2-T24,,
,,C3,,Mzb1,,
,,Il1rn,,Cyb561a3,,
,,Alox5,,Slc39a14,,
,,Por,,Atp13a2,,
,,Fgr,,Ralgps2,,
,,Arap3,,St3gal6,,
,,Aqp9,,Plaur,,
,,Treml2,,Cib1,,
,,Flot1,,Slc27a1,,
,,Pip5k1b,,Lag3,,
,,Mapk13,,Scrn1,,
,,Slc7a11,,Gimap6,,
,,Cd177,,Ceacam1,,
,,Slc15a3,,,,
,,Slc16a3,,,,
,,F5,,,,
,,Ly6c2,,,,
,,Vsir,,,,
,,Txnl4b,,,,
,,Gbp7,,,,
,,Smox,,,,
,,Egln3,,,,
,,Rasgrp2,,,,
,,Tnfsf14,,,,
,,Adgrg3,,,,
,,Gapt,,,,
,,Nt5e,,,,
,,Myo1d,,,,
,,Ceacam10,,,,
,,Atg7,,,,
,,Fam217b,,,,
,,Ptgs1,,,,
,,Igf1r,,,,
,,Ifitm3,,,,
,,Ccpg1,,,,
,,Mindy1,,,,
,,Ccdc180,,,,
,,Hsd11b1,,,,
,,Lst1,,,,
,,Vnn3,,,,
,,Ppp1r3d,,,,
,,Lpcat2,,,,
,,Sirpa,,,,
,,S100a6,,,,
,,Fam111a,,,,
,,Ggt5,,,,
,,Nfam1,,,,
,,Lgals9,,,,
,,Ccdc126,,,,
,,Prdx5,,,,
,,Ltb,,,,
,,Card6,,,,
